SUMLEV,POP_2010,POP_2015,POP_2019
50,33984,33827,33663
50,20767,20508,20256
50,22309,22301,22296
50,73240,73839,71982
50,33387,33385,32906
50,16274,16130,15898
50,432552,434264,436126
50,31594,31295,31480
50,221578,231471,241756
50,96318,97276,98123
50,14890,14821,14887
50,46735,47233,47471
50,128026,133668,137712
50,12093,11908,11342
50,27979,26938,25655
50,39566,39118,39042
50,343829,378637,391493
50,153720,156062,155841
50,23042,23509,23348
50,22802,22429,22164
50,131613,132322,131253
50,9091,8957,8527
50,20725,20913,20413
50,24233,24261,23909
50,35897,43430,46110
50,52780,52614,52620
50,11203,10771,10322
50,22102,21607,21380
50,45924,43570,43328
50,83384,83415,83535
50,52160,52901,54066
50,54650,53581,50708
50,233740,241953,255921
50,121097,125520,132353
50,5252,4933,4574
50,111860,112707,111823
50,22721,22454,22398
50,57999,59284,59936
50,52334,52815,49789
50,47168,46407,46649
50,41207,40660,39264
50,23788,24654,26184
50,11604,11453,10974
50,15625,15462,15371
50,15313,14849,14350
50,107702,107223,107399
50,71870,70064,67609
50,281674,285537,292181
50,30768,30477,29799
50,54418,54566,54539
50,122151,121139,121913
50,39736,39691,39759
50,34457,34087,34215
50,57833,57397,57534
50,153923,153222,151645
50,17535,17173,16804
50,35293,35021,35436
50,52228,51698,50351
50,38786,39025,39772
50,32856,32260,31374
50,197131,199429,204282
50,75087,73576,71352
50,537656,555417,571339
50,805029,822274,828645
50,88737,90444,91435
50,33066,32642,33096
50,167134,167217,167547
50,101108,101887,102394
50,146551,152645,159450
50,32618,32555,32105
50,233385,241129,250622
50,30097,29965,29242
50,244826,248890,251858
50,287085,303527,319251
50,20197,19816,19442
50,971777,1015172,1046822
50,863420,890658,909705
50,47798,48517,49586
50,105151,109224,112487
50,26470,25959,25896
50,37782,37896,37033
50,147430,148986,150169
50,98733,100850,102252
50,51454,51551,51659
50,620961,622391,610481
50,215888,214518,213581
50,131219,129488,126353
50,548285,552379,560941
50,16535,17159,17311
50,743159,764563,784453
50,71372,71361,70605
50,463490,467747,467705
50,158080,160856,161077
50,1503085,1560204,1603943
50,10172,10569,11205
50,670850,688345,700599
50,494919,502792,515461
50,722023,762488,800806
50,798552,810846,825749
50,10942,10554,10309
50,9601,9438,9144
50,111408,112009,116368
50,29598,28957,28428
50,23580,23123,23270
50,15899,15413,15014
50,8860,8718,8441
50,59173,59090,60682
50,107771,106794,104045
50,17525,17348,17624
50,156813,156129,154128
50,45248,43587,43375
50,136146,134751,134180
50,52293,51585,51481
50,25949,26252,26212
50,26152,25573,25454
50,38520,38569,37679
50,30926,30600,30565
50,75382,76809,78506
50,14074,13877,13906
50,37069,36799,35890
50,26168,26015,25424
50,107759,108264,109456
50,32694,32946,33081
50,425790,415639,407488
50,25692,25565,25241
50,16427,15908,15340
50,86986,90099,91791
50,42476,41931,40979
50,46688,46131,45820
50,36628,36676,36198
