Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator
01/14/2022,08/14/2021,Central Region,Unvaccinated,2272,64,27,3139868
01/14/2022,05/15/2021,Northern Region,Fully Vaccinated,46,1,1,3632238
01/14/2022,07/24/2021,Central Region,Fully Vaccinated,199,13,5,4697306
01/14/2022,07/17/2021,Eastern Region,Partially Vaccinated,40,4,1,478817
01/14/2022,12/25/2021,Southwest Region,Fully Vaccinated,981,16,1,5732931
01/14/2022,03/20/2021,Central Region,Unvaccinated,1563,49,30,6335092
01/14/2022,10/16/2021,Eastern Region,Fully Vaccinated,593,12,5,5282636
01/14/2022,10/16/2021,Eastern Region,Unvaccinated,1597,52,19,2676143
01/14/2022,03/20/2021,Southwest Region,Fully Vaccinated,15,3,2,1259404
01/14/2022,09/04/2021,Southwest Region,Unvaccinated,4738,144,66,2947842
01/14/2022,08/14/2021,Southwest Region,Fully Vaccinated,575,23,10,4820726
01/14/2022,08/21/2021,Northwest Region,Unvaccinated,2464,79,27,3074560
01/14/2022,02/13/2021,Southwest Region,Partially Vaccinated,138,8,9,688248
01/14/2022,04/10/2021,Southwest Region,Unvaccinated,1273,85,32,5130433
01/14/2022,11/13/2021,Southwest Region,Partially Vaccinated,125,4,3,702602
01/14/2022,08/07/2021,Northern Region,Unvaccinated,1380,46,9,3210294
01/14/2022,04/24/2021,Southwest Region,Fully Vaccinated,48,14,4,2767562
01/14/2022,03/06/2021,Southwest Region,Fully Vaccinated,11,2,0,951871
01/14/2022,03/20/2021,Southwest Region,Partially Vaccinated,122,7,3,941023
01/14/2022,04/10/2021,Eastern Region,Unvaccinated,1959,66,24,5130433
01/14/2022,01/08/2022,Southwest Region,Unvaccinated,10835,39,6,1926541
01/14/2022,07/03/2021,Northwest Region,Partially Vaccinated,9,5,2,491659
01/14/2022,05/22/2021,Eastern Region,Partially Vaccinated,30,3,0,764707
01/14/2022,05/22/2021,Northern Region,Fully Vaccinated,42,3,0,3871857
01/14/2022,05/22/2021,Southwest Region,Partially Vaccinated,27,5,0,764707
01/14/2022,07/24/2021,Eastern Region,Partially Vaccinated,64,0,0,490259
01/14/2022,09/11/2021,Southwest Region,Unvaccinated,4755,138,74,2895033
01/14/2022,03/06/2021,Central Region,Partially Vaccinated,91,9,2,672101
01/14/2022,07/31/2021,Southwest Region,Fully Vaccinated,354,37,2,4735961
01/14/2022,08/14/2021,Northwest Region,Unvaccinated,1706,69,20,3139868
01/14/2022,02/06/2021,Eastern Region,Unvaccinated,5068,212,76,7577823
01/14/2022,08/14/2021,Central Region,Fully Vaccinated,538,11,13,4820726
01/14/2022,12/18/2021,Southwest Region,Fully Vaccinated,764,33,8,5706508
01/14/2022,04/10/2021,Northwest Region,Fully Vaccinated,28,3,0,2099346
01/14/2022,04/03/2021,Central Region,Partially Vaccinated,189,14,5,1261673
01/14/2022,07/10/2021,Central Region,Fully Vaccinated,70,5,1,4609556
01/14/2022,05/29/2021,Southwest Region,Fully Vaccinated,23,2,0,4023787
01/14/2022,10/02/2021,Eastern Region,Unvaccinated,2681,65,28,2760178
01/14/2022,06/19/2021,Northwest Region,Partially Vaccinated,6,1,0,528571
01/14/2022,08/14/2021,Northern Region,Fully Vaccinated,827,13,4,4820726
01/14/2022,06/19/2021,Central Region,Fully Vaccinated,20,0,0,4427962
01/14/2022,10/23/2021,Southwest Region,Unvaccinated,1850,78,41,2631942
01/14/2022,04/03/2021,Northwest Region,Partially Vaccinated,118,8,1,1261673
01/14/2022,09/11/2021,Northwest Region,Unvaccinated,4235,103,52,2895033
01/14/2022,08/07/2021,Northwest Region,Unvaccinated,1463,45,12,3210294
01/14/2022,11/06/2021,Southwest Region,Partially Vaccinated,134,10,0,624445
01/14/2022,08/28/2021,Northern Region,Unvaccinated,1867,49,7,3009411
01/14/2022,01/08/2022,Eastern Region,Partially Vaccinated,2277,75,0,813550
01/14/2022,06/26/2021,Northern Region,Unvaccinated,202,4,1,3752780
01/14/2022,05/15/2021,Central Region,Partially Vaccinated,41,7,0,812753
01/14/2022,01/08/2022,Eastern Region,Fully Vaccinated,1166,55,1,5795428
01/14/2022,08/28/2021,Central Region,Partially Vaccinated,254,5,2,592894
01/14/2022,05/08/2021,Southwest Region,Fully Vaccinated,42,7,2,3379928
01/14/2022,07/10/2021,Northern Region,Unvaccinated,309,15,2,3443254
01/14/2022,08/28/2021,Eastern Region,Unvaccinated,4488,118,56,3009411
01/14/2022,07/17/2021,Southwest Region,Partially Vaccinated,19,0,0,478817
